symbol,date,twit_sentiment,twit_post_count
AAPL,2026-04-23,-0.3328127335332778,8
AAPL,2026-04-24,0.03380620820903473,14
AMD,2026-04-24,0.1686259866234409,13
AMZN,2026-04-23,0.09120481657367704,19
AMZN,2026-04-24,-0.05028682575531902,11
BAC,2026-04-14,-0.047613161840841106,8
BAC,2026-04-15,0.21288719468554196,27
BAC,2026-04-16,0.2713407060296501,7
BAC,2026-04-17,0.5897051259156973,4
BAC,2026-04-18,-0.17741702468578324,2
BAC,2026-04-20,-0.6949116711276904,2
BAC,2026-04-21,-0.006441659247613585,4
BAC,2026-04-22,0.005274186210384224,1
BAC,2026-04-23,0.4259499295389113,2
BAC,2026-04-24,0.7840931103542266,1
CVX,2026-04-13,0.20093485304390324,3
CVX,2026-04-14,-0.28261985546278034,2
CVX,2026-04-15,0.33324947726744375,6
CVX,2026-04-16,0.18019579506241323,2
CVX,2026-04-17,0.062013434884984675,6
CVX,2026-04-18,-0.6348677755255211,2
CVX,2026-04-19,-0.6506643629043195,2
CVX,2026-04-21,0.32438931945268823,2
CVX,2026-04-22,0.510274511347238,1
CVX,2026-04-23,-0.942434647373322,1
CVX,2026-04-24,-0.4625019053369622,2
DIS,2026-04-14,0.26333103621791215,3
DIS,2026-04-15,-0.1647487358790679,4
DIS,2026-04-16,-0.41775273551488434,2
DIS,2026-04-17,0.02584993319449158,8
DIS,2026-04-18,-0.16074317875755872,2
DIS,2026-04-19,0.9517041589250692,1
DIS,2026-04-20,0.4521826674453231,1
DIS,2026-04-21,0.13961310311764072,3
DIS,2026-04-22,-0.8629708138376243,2
DIS,2026-04-23,0.07247003760963618,3
DIS,2026-04-24,0.04448652010960874,1
GOOGL,2026-04-22,-0.14978121371769837,6
GOOGL,2026-04-23,0.03751465292851615,21
GOOGL,2026-04-24,0.0485731456315586,6
GS,2026-04-14,-0.2138045506664792,1
GS,2026-04-15,0.004684510707693379,8
GS,2026-04-16,0.2992657980944293,1
GS,2026-04-17,0.0106597060608139,4
GS,2026-04-18,-0.5514613810788804,1
GS,2026-04-20,0.3438564571952938,2
GS,2026-04-21,0.09746757873317224,1
GS,2026-04-22,-0.5345785263810974,4
GS,2026-04-23,0.009453533202199216,3
INTC,2026-04-24,-0.15884141246051384,18
JNJ,2026-04-10,0.684372458499348,2
JNJ,2026-04-11,0.09052370432134893,3
