fold,n_train,n_val,acc,auc
1,25437,26460,0.5066137566137566,0.5182679192474797
2,51755,26460,0.5295918367346939,0.533570190742739
3,78075,26612,0.5459567112580791,0.5384309196475042
4,104542,26649,0.5124019663026755,0.5266332933313954
5,131050,26649,0.503958872753199,0.496257510271321
